iso3,country,year,season
KOR,South Korea,1968,Summer
KWT,Kuwait,1968,Summer
LBN,Lebanon,1968,Summer
LBY,Libya,1968,Summer
LIE,Liechtenstein,1968,Summer
LKA,Sri Lanka,1968,Summer
LUX,Luxembourg,1968,Summer
MAR,Morocco,1968,Summer
MCO,Monaco,1968,Summer
MDG,Madagascar,1968,Summer
MEX,Mexico,1968,Summer
MLI,Mali,1968,Summer
MLT,Malta,1968,Summer
MMR,Myanmar,1968,Summer
MNG,Mongolia,1968,Summer
MYS,Malaysia,1968,Summer
NER,Niger,1968,Summer
NGA,Nigeria,1968,Summer
NIC,Nicaragua,1968,Summer
NLD,Netherlands,1968,Summer
NOR,Norway,1968,Summer
NZL,New Zealand,1968,Summer
PAK,Pakistan,1968,Summer
PAN,Panama,1968,Summer
PER,Peru,1968,Summer
PHL,Philippines,1968,Summer
POL,Poland,1968,Summer
PRI,Puerto Rico,1968,Summer
PRT,Portugal,1968,Summer
PRY,Paraguay,1968,Summer
ROU,Romania,1968,Summer
SEN,Senegal,1968,Summer
SGP,Singapore,1968,Summer
SLE,Sierra Leone,1968,Summer
SLV,El Salvador,1968,Summer
SMR,San Marino,1968,Summer
SUR,Suriname,1968,Summer
SWE,Sweden,1968,Summer
SYR,Syria,1968,Summer
TCD,Chad,1968,Summer
THA,Thailand,1968,Summer
TTO,Trinidad and Tobago,1968,Summer
TUN,Tunisia,1968,Summer
TUR,Turkey,1968,Summer
TWN,Taiwan,1968,Summer
TZA,Tanzania,1968,Summer
UGA,Uganda,1968,Summer
URY,Uruguay,1968,Summer
USA,United States,1968,Summer
VEN,Venezuela,1968,Summer
VIR,US Virgin Islands,1968,Summer
VNM,Vietnam,1968,Summer
ZMB,Zambia,1968,Summer
ARG,Argentina,1968,Winter
AUS,Australia,1968,Winter
AUT,Austria,1968,Winter
BGR,Bulgaria,1968,Winter
CAN,Canada,1968,Winter
CHE,Switzerland,1968,Winter
CHL,Chile,1968,Winter
DNK,Denmark,1968,Winter
ESP,Spain,1968,Winter
FIN,Finland,1968,Winter
FRA,France,1968,Winter
GBR,United Kingdom,1968,Winter
GRC,Greece,1968,Winter
HUN,Hungary,1968,Winter
IND,India,1968,Winter
IRN,Iran,1968,Winter
ISL,Iceland,1968,Winter
ITA,Italy,1968,Winter
JPN,Japan,1968,Winter
KOR,South Korea,1968,Winter
LBN,Lebanon,1968,Winter
LIE,Liechtenstein,1968,Winter
MAR,Morocco,1968,Winter
MNG,Mongolia,1968,Winter
NLD,Netherlands,1968,Winter
NOR,Norway,1968,Winter
NZL,New Zealand,1968,Winter
POL,Poland,1968,Winter
ROU,Romania,1968,Winter
SWE,Sweden,1968,Winter
TUR,Turkey,1968,Winter
USA,United States,1968,Winter
AFG,Afghanistan,1972,Summer
ALB,Albania,1972,Summer
ANT,Netherlands Antilles,1972,Summer
ARG,Argentina,1972,Summer
AUS,Australia,1972,Summer
AUT,Austria,1972,Summer
BEL,Belgium,1972,Summer
BEN,Benin,1972,Summer
BFA,Burkina Faso,1972,Summer
BGR,Bulgaria,1972,Summer
BHS,Bahamas,1972,Summer
BLZ,Belize,1972,Summer
BMU,Bermuda,1972,Summer
BOL,Bolivia,1972,Summer
BRA,Brazil,1972,Summer
BRB,Barbados,1972,Summer
CAN,Canada,1972,Summer
CHE,Switzerland,1972,Summer
CHL,Chile,1972,Summer
CIV,Ivory Coast,1972,Summer
CMR,Cameroon,1972,Summer
COG,Congo,1972,Summer
COL,Colombia,1972,Summer
CRI,Costa Rica,1972,Summer
CUB,Cuba,1972,Summer
DNK,Denmark,1972,Summer
DOM,Dominican Republic,1972,Summer
DZA,Algeria,1972,Summer
ECU,Ecuador,1972,Summer
EGY,Egypt,1972,Summer
ESP,Spain,1972,Summer
FIN,Finland,1972,Summer
FJI,Fiji,1972,Summer
FRA,France,1972,Summer
GAB,Gabon,1972,Summer
GBR,United Kingdom,1972,Summer
GHA,Ghana,1972,Summer
GRC,Greece,1972,Summer
GTM,Guatemala,1972,Summer
GUY,Guyana,1972,Summer
HKG,Hong Kong,1972,Summer
HTI,Haiti,1972,Summer
HUN,Hungary,1972,Summer
IDN,Indonesia,1972,Summer
IND,India,1972,Summer
IRL,Ireland,1972,Summer
IRN,Iran,1972,Summer
ISL,Iceland,1972,Summer
ISR,Israel,1972,Summer
ITA,Italy,1972,Summer
JAM,Jamaica,1972,Summer
JPN,Japan,1972,Summer
KEN,Kenya,1972,Summer
KHM,Cambodia,1972,Summer
KOR,South Korea,1972,Summer
KWT,Kuwait,1972,Summer
LBN,Lebanon,1972,Summer
LBR,Liberia,1972,Summer
LIE,Liechtenstein,1972,Summer
LKA,Sri Lanka,1972,Summer
LSO,Lesotho,1972,Summer
LUX,Luxembourg,1972,Summer
MAR,Morocco,1972,Summer
MCO,Monaco,1972,Summer
MDG,Madagascar,1972,Summer
MEX,Mexico,1972,Summer
MLI,Mali,1972,Summer
MLT,Malta,1972,Summer
MMR,Myanmar,1972,Summer
MNG,Mongolia,1972,Summer
MWI,Malawi,1972,Summer
MYS,Malaysia,1972,Summer
NER,Niger,1972,Summer
NGA,Nigeria,1972,Summer
NIC,Nicaragua,1972,Summer
NLD,Netherlands,1972,Summer
NOR,Norway,1972,Summer
NPL,Nepal,1972,Summer
NZL,New Zealand,1972,Summer
PAK,Pakistan,1972,Summer
PAN,Panama,1972,Summer
PER,Peru,1972,Summer
PHL,Philippines,1972,Summer
POL,Poland,1972,Summer
PRI,Puerto Rico,1972,Summer
PRK,North Korea,1972,Summer
PRT,Portugal,1972,Summer
PRY,Paraguay,1972,Summer
ROU,Romania,1972,Summer
SAU,Saudi Arabia,1972,Summer
SEN,Senegal,1972,Summer
SGP,Singapore,1972,Summer
SLV,El Salvador,1972,Summer
SMR,San Marino,1972,Summer
SOM,Somalia,1972,Summer
SUR,Suriname,1972,Summer
SWE,Sweden,1972,Summer
SWZ,Eswatini,1972,Summer
SYR,Syria,1972,Summer
TCD,Chad,1972,Summer
TGO,Togo,1972,Summer
THA,Thailand,1972,Summer
TTO,Trinidad and Tobago,1972,Summer
TUN,Tunisia,1972,Summer
TUR,Turkey,1972,Summer
TWN,Taiwan,1972,Summer
TZA,Tanzania,1972,Summer
UGA,Uganda,1972,Summer
URY,Uruguay,1972,Summer
USA,United States,1972,Summer
VEN,Venezuela,1972,Summer
VIR,US Virgin Islands,1972,Summer
VNM,Vietnam,1972,Summer
ZMB,Zambia,1972,Summer
ARG,Argentina,1972,Winter
AUS,Australia,1972,Winter
AUT,Austria,1972,Winter
BEL,Belgium,1972,Winter
BGR,Bulgaria,1972,Winter
CAN,Canada,1972,Winter
CHE,Switzerland,1972,Winter
ESP,Spain,1972,Winter
FIN,Finland,1972,Winter
FRA,France,1972,Winter
GBR,United Kingdom,1972,Winter
GRC,Greece,1972,Winter
HUN,Hungary,1972,Winter
IRN,Iran,1972,Winter
ITA,Italy,1972,Winter
JPN,Japan,1972,Winter
KOR,South Korea,1972,Winter
LBN,Lebanon,1972,Winter
LIE,Liechtenstein,1972,Winter
MNG,Mongolia,1972,Winter
NLD,Netherlands,1972,Winter
NOR,Norway,1972,Winter
NZL,New Zealand,1972,Winter
PHL,Philippines,1972,Winter
POL,Poland,1972,Winter
PRK,North Korea,1972,Winter
ROU,Romania,1972,Winter
SWE,Sweden,1972,Winter
TWN,Taiwan,1972,Winter
USA,United States,1972,Winter
AND,Andorra,1976,Summer
ANT,Netherlands Antilles,1976,Summer
ARG,Argentina,1976,Summer
ATG,Antigua and Barbuda,1976,Summer
AUS,Australia,1976,Summer
AUT,Austria,1976,Summer
BEL,Belgium,1976,Summer
BGR,Bulgaria,1976,Summer
BHS,Bahamas,1976,Summer
BLZ,Belize,1976,Summer
BMU,Bermuda,1976,Summer
BOL,Bolivia,1976,Summer
BRA,Brazil,1976,Summer
BRB,Barbados,1976,Summer
CAN,Canada,1976,Summer
CHE,Switzerland,1976,Summer
CHL,Chile,1976,Summer
CIV,Ivory Coast,1976,Summer
CMR,Cameroon,1976,Summer
COG,Congo,1976,Summer
COL,Colombia,1976,Summer
CRI,Costa Rica,1976,Summer
CUB,Cuba,1976,Summer
CYM,Cayman Islands,1976,Summer
DNK,Denmark,1976,Summer
DOM,Dominican Republic,1976,Summer
ECU,Ecuador,1976,Summer
EGY,Egypt,1976,Summer
ESP,Spain,1976,Summer
FIN,Finland,1976,Summer
FJI,Fiji,1976,Summer
FRA,France,1976,Summer
GBR,United Kingdom,1976,Summer
GHA,Ghana,1976,Summer
GMB,Gambia,1976,Summer
GRC,Greece,1976,Summer
GTM,Guatemala,1976,Summer
GUY,Guyana,1976,Summer
HKG,Hong Kong,1976,Summer
HND,Honduras,1976,Summer
HTI,Haiti,1976,Summer
HUN,Hungary,1976,Summer
IDN,Indonesia,1976,Summer
IND,India,1976,Summer
IRL,Ireland,1976,Summer
IRN,Iran,1976,Summer
IRQ,Iraq,1976,Summer
ISL,Iceland,1976,Summer
ISR,Israel,1976,Summer
ITA,Italy,1976,Summer
JAM,Jamaica,1976,Summer
JPN,Japan,1976,Summer
KEN,Kenya,1976,Summer
KOR,South Korea,1976,Summer
KWT,Kuwait,1976,Summer
LBN,Lebanon,1976,Summer
LIE,Liechtenstein,1976,Summer
LUX,Luxembourg,1976,Summer
MAR,Morocco,1976,Summer
MCO,Monaco,1976,Summer
MEX,Mexico,1976,Summer
MNG,Mongolia,1976,Summer
MYS,Malaysia,1976,Summer
NGA,Nigeria,1976,Summer
NIC,Nicaragua,1976,Summer
NLD,Netherlands,1976,Summer
NOR,Norway,1976,Summer
NPL,Nepal,1976,Summer
NZL,New Zealand,1976,Summer
PAK,Pakistan,1976,Summer
PAN,Panama,1976,Summer
PER,Peru,1976,Summer
PHL,Philippines,1976,Summer
PNG,Papua New Guinea,1976,Summer
POL,Poland,1976,Summer
PRI,Puerto Rico,1976,Summer
PRK,North Korea,1976,Summer
PRT,Portugal,1976,Summer
PRY,Paraguay,1976,Summer
ROU,Romania,1976,Summer
SAU,Saudi Arabia,1976,Summer
SEN,Senegal,1976,Summer
SGP,Singapore,1976,Summer
SMR,San Marino,1976,Summer
SUR,Suriname,1976,Summer
SWE,Sweden,1976,Summer
SWZ,Eswatini,1976,Summer
THA,Thailand,1976,Summer
TTO,Trinidad and Tobago,1976,Summer
TUN,Tunisia,1976,Summer
TUR,Turkey,1976,Summer
TWN,Taiwan,1976,Summer
UGA,Uganda,1976,Summer
URY,Uruguay,1976,Summer
USA,United States,1976,Summer
VEN,Venezuela,1976,Summer
VIR,US Virgin Islands,1976,Summer
ZMB,Zambia,1976,Summer
AND,Andorra,1976,Winter
ARG,Argentina,1976,Winter
AUS,Australia,1976,Winter
AUT,Austria,1976,Winter
BEL,Belgium,1976,Winter
BGR,Bulgaria,1976,Winter
CAN,Canada,1976,Winter
CHE,Switzerland,1976,Winter
CHL,Chile,1976,Winter
ESP,Spain,1976,Winter
FIN,Finland,1976,Winter
FRA,France,1976,Winter
GBR,United Kingdom,1976,Winter
GRC,Greece,1976,Winter
HUN,Hungary,1976,Winter
IRN,Iran,1976,Winter
ISL,Iceland,1976,Winter
ITA,Italy,1976,Winter
JPN,Japan,1976,Winter
KOR,South Korea,1976,Winter
LBN,Lebanon,1976,Winter
LIE,Liechtenstein,1976,Winter
NLD,Netherlands,1976,Winter
NOR,Norway,1976,Winter
NZL,New Zealand,1976,Winter
POL,Poland,1976,Winter
ROU,Romania,1976,Winter
SMR,San Marino,1976,Winter
SWE,Sweden,1976,Winter
TUR,Turkey,1976,Winter
TWN,Taiwan,1976,Winter
USA,United States,1976,Winter
AFG,Afghanistan,1980,Summer
AGO,Angola,1980,Summer
AND,Andorra,1980,Summer
AUS,Australia,1980,Summer
AUT,Austria,1980,Summer
BEL,Belgium,1980,Summer
BEN,Benin,1980,Summer
BGR,Bulgaria,1980,Summer
BRA,Brazil,1980,Summer
BWA,Botswana,1980,Summer
CHE,Switzerland,1980,Summer
CMR,Cameroon,1980,Summer
COG,Congo,1980,Summer
COL,Colombia,1980,Summer
CRI,Costa Rica,1980,Summer
CUB,Cuba,1980,Summer
CYP,Cyprus,1980,Summer
DNK,Denmark,1980,Summer
DOM,Dominican Republic,1980,Summer
DZA,Algeria,1980,Summer
ECU,Ecuador,1980,Summer
ESP,Spain,1980,Summer
FIN,Finland,1980,Summer
FRA,France,1980,Summer
GBR,United Kingdom,1980,Summer
GIN,Guinea,1980,Summer
GRC,Greece,1980,Summer
GTM,Guatemala,1980,Summer
GUY,Guyana,1980,Summer
HUN,Hungary,1980,Summer
IND,India,1980,Summer
IRL,Ireland,1980,Summer
IRQ,Iraq,1980,Summer
ISL,Iceland,1980,Summer
ITA,Italy,1980,Summer
JAM,Jamaica,1980,Summer
JOR,Jordan,1980,Summer
KWT,Kuwait,1980,Summer
LAO,Laos,1980,Summer
LBN,Lebanon,1980,Summer
LBY,Libya,1980,Summer
LKA,Sri Lanka,1980,Summer
LSO,Lesotho,1980,Summer
LUX,Luxembourg,1980,Summer
MDG,Madagascar,1980,Summer
MEX,Mexico,1980,Summer
MLI,Mali,1980,Summer
MLT,Malta,1980,Summer
MMR,Myanmar,1980,Summer
MNG,Mongolia,1980,Summer
MOZ,Mozambique,1980,Summer
NGA,Nigeria,1980,Summer
NIC,Nicaragua,1980,Summer
NLD,Netherlands,1980,Summer
NPL,Nepal,1980,Summer
NZL,New Zealand,1980,Summer
PER,Peru,1980,Summer
POL,Poland,1980,Summer
PRI,Puerto Rico,1980,Summer
PRK,North Korea,1980,Summer
PRT,Portugal,1980,Summer
ROU,Romania,1980,Summer
SEN,Senegal,1980,Summer
SLE,Sierra Leone,1980,Summer
SMR,San Marino,1980,Summer
SWE,Sweden,1980,Summer
SYC,Seychelles,1980,Summer
SYR,Syria,1980,Summer
TTO,Trinidad and Tobago,1980,Summer
TZA,Tanzania,1980,Summer
UGA,Uganda,1980,Summer
VEN,Venezuela,1980,Summer
VNM,Vietnam,1980,Summer
ZMB,Zambia,1980,Summer
ZWE,Zimbabwe,1980,Summer
AND,Andorra,1980,Winter
ARG,Argentina,1980,Winter
AUS,Australia,1980,Winter
AUT,Austria,1980,Winter
BEL,Belgium,1980,Winter
BGR,Bulgaria,1980,Winter
BOL,Bolivia,1980,Winter
CAN,Canada,1980,Winter
CHE,Switzerland,1980,Winter
CHN,China,1980,Winter
CRI,Costa Rica,1980,Winter
CYP,Cyprus,1980,Winter
ESP,Spain,1980,Winter
FIN,Finland,1980,Winter
FRA,France,1980,Winter
GBR,United Kingdom,1980,Winter
GRC,Greece,1980,Winter
HUN,Hungary,1980,Winter
ISL,Iceland,1980,Winter
ITA,Italy,1980,Winter
JPN,Japan,1980,Winter
KOR,South Korea,1980,Winter
LBN,Lebanon,1980,Winter
LIE,Liechtenstein,1980,Winter
MNG,Mongolia,1980,Winter
NLD,Netherlands,1980,Winter
NOR,Norway,1980,Winter
NZL,New Zealand,1980,Winter
POL,Poland,1980,Winter
ROU,Romania,1980,Winter
SWE,Sweden,1980,Winter
USA,United States,1980,Winter
AND,Andorra,1984,Summer
ANT,Netherlands Antilles,1984,Summer
ARE,United Arab Emirates,1984,Summer
ARG,Argentina,1984,Summer
ATG,Antigua and Barbuda,1984,Summer
AUS,Australia,1984,Summer
AUT,Austria,1984,Summer
BEL,Belgium,1984,Summer
BEN,Benin,1984,Summer
BGD,Bangladesh,1984,Summer
BHR,Bahrain,1984,Summer
BHS,Bahamas,1984,Summer
BLZ,Belize,1984,Summer
BMU,Bermuda,1984,Summer
BOL,Bolivia,1984,Summer
BRA,Brazil,1984,Summer
BRB,Barbados,1984,Summer
BTN,Bhutan,1984,Summer
BWA,Botswana,1984,Summer
CAF,Central African Republic,1984,Summer
CAN,Canada,1984,Summer
CHE,Switzerland,1984,Summer
CHL,Chile,1984,Summer
CHN,China,1984,Summer
CIV,Ivory Coast,1984,Summer
CMR,Cameroon,1984,Summer
COD,DR Congo,1984,Summer
COG,Congo,1984,Summer
COL,Colombia,1984,Summer
CRI,Costa Rica,1984,Summer
CYM,Cayman Islands,1984,Summer
CYP,Cyprus,1984,Summer
DJI,Djibouti,1984,Summer
DNK,Denmark,1984,Summer
DOM,Dominican Republic,1984,Summer
DZA,Algeria,1984,Summer
ECU,Ecuador,1984,Summer
EGY,Egypt,1984,Summer
ESP,Spain,1984,Summer
FIN,Finland,1984,Summer
FJI,Fiji,1984,Summer
FRA,France,1984,Summer
GAB,Gabon,1984,Summer
GBR,United Kingdom,1984,Summer
GHA,Ghana,1984,Summer
GIN,Guinea,1984,Summer
GMB,Gambia,1984,Summer
GNQ,Equatorial Guinea,1984,Summer
GRC,Greece,1984,Summer
GRD,Grenada,1984,Summer
GTM,Guatemala,1984,Summer
GUY,Guyana,1984,Summer
HKG,Hong Kong,1984,Summer
HND,Honduras,1984,Summer
HTI,Haiti,1984,Summer
IDN,Indonesia,1984,Summer
IND,India,1984,Summer
IRL,Ireland,1984,Summer
IRQ,Iraq,1984,Summer
ISL,Iceland,1984,Summer
ISR,Israel,1984,Summer
ITA,Italy,1984,Summer
JAM,Jamaica,1984,Summer
JOR,Jordan,1984,Summer
JPN,Japan,1984,Summer
KEN,Kenya,1984,Summer
KOR,South Korea,1984,Summer
KWT,Kuwait,1984,Summer
LBN,Lebanon,1984,Summer
LBR,Liberia,1984,Summer
LIE,Liechtenstein,1984,Summer
LKA,Sri Lanka,1984,Summer
LSO,Lesotho,1984,Summer
LUX,Luxembourg,1984,Summer
MAR,Morocco,1984,Summer
MCO,Monaco,1984,Summer
MDG,Madagascar,1984,Summer
MEX,Mexico,1984,Summer
MLI,Mali,1984,Summer
MLT,Malta,1984,Summer
MMR,Myanmar,1984,Summer
MOZ,Mozambique,1984,Summer
MRT,Mauritania,1984,Summer
MUS,Mauritius,1984,Summer
MWI,Malawi,1984,Summer
MYS,Malaysia,1984,Summer
NER,Niger,1984,Summer
NGA,Nigeria,1984,Summer
NIC,Nicaragua,1984,Summer
NLD,Netherlands,1984,Summer
NOR,Norway,1984,Summer
NPL,Nepal,1984,Summer
NZL,New Zealand,1984,Summer
OMN,Oman,1984,Summer
PAK,Pakistan,1984,Summer
PAN,Panama,1984,Summer
PER,Peru,1984,Summer
PHL,Philippines,1984,Summer
PNG,Papua New Guinea,1984,Summer
PRI,Puerto Rico,1984,Summer
PRT,Portugal,1984,Summer
PRY,Paraguay,1984,Summer
QAT,Qatar,1984,Summer
ROU,Romania,1984,Summer
RWA,Rwanda,1984,Summer
SAU,Saudi Arabia,1984,Summer
SEN,Senegal,1984,Summer
SGP,Singapore,1984,Summer
SLB,Solomon Islands,1984,Summer
SLE,Sierra Leone,1984,Summer
SLV,El Salvador,1984,Summer
SMR,San Marino,1984,Summer
SOM,Somalia,1984,Summer
SUR,Suriname,1984,Summer
SWE,Sweden,1984,Summer
SWZ,Eswatini,1984,Summer
SYC,Seychelles,1984,Summer
SYR,Syria,1984,Summer
TCD,Chad,1984,Summer
TGO,Togo,1984,Summer
THA,Thailand,1984,Summer
TON,Tonga,1984,Summer
TTO,Trinidad and Tobago,1984,Summer
TUN,Tunisia,1984,Summer
TUR,Turkey,1984,Summer
TWN,Taiwan,1984,Summer
TZA,Tanzania,1984,Summer
UGA,Uganda,1984,Summer
URY,Uruguay,1984,Summer
USA,United States,1984,Summer
VEN,Venezuela,1984,Summer
VGB,British Virgin Islands,1984,Summer
VIR,US Virgin Islands,1984,Summer
WSM,Samoa,1984,Summer
ZMB,Zambia,1984,Summer
ZWE,Zimbabwe,1984,Summer
AND,Andorra,1984,Winter
ARG,Argentina,1984,Winter
AUS,Australia,1984,Winter
AUT,Austria,1984,Winter
BEL,Belgium,1984,Winter
BGR,Bulgaria,1984,Winter
BOL,Bolivia,1984,Winter
CAN,Canada,1984,Winter
CHE,Switzerland,1984,Winter
CHL,Chile,1984,Winter
CHN,China,1984,Winter
CRI,Costa Rica,1984,Winter
CYP,Cyprus,1984,Winter
EGY,Egypt,1984,Winter
ESP,Spain,1984,Winter
FIN,Finland,1984,Winter
FRA,France,1984,Winter
GBR,United Kingdom,1984,Winter
GRC,Greece,1984,Winter
HUN,Hungary,1984,Winter
ISL,Iceland,1984,Winter
ITA,Italy,1984,Winter
JPN,Japan,1984,Winter
KOR,South Korea,1984,Winter
LBN,Lebanon,1984,Winter
LIE,Liechtenstein,1984,Winter
MAR,Morocco,1984,Winter
MCO,Monaco,1984,Winter
MEX,Mexico,1984,Winter
MNG,Mongolia,1984,Winter
NLD,Netherlands,1984,Winter
NOR,Norway,1984,Winter
NZL,New Zealand,1984,Winter
POL,Poland,1984,Winter
PRI,Puerto Rico,1984,Winter
PRK,North Korea,1984,Winter
ROU,Romania,1984,Winter
SEN,Senegal,1984,Winter
SMR,San Marino,1984,Winter
SWE,Sweden,1984,Winter
TUR,Turkey,1984,Winter
TWN,Taiwan,1984,Winter
USA,United States,1984,Winter
VGB,British Virgin Islands,1984,Winter
ABW,Aruba,1988,Summer
AFG,Afghanistan,1988,Summer
AGO,Angola,1988,Summer
AND,Andorra,1988,Summer
ANT,Netherlands Antilles,1988,Summer
ARE,United Arab Emirates,1988,Summer
ARG,Argentina,1988,Summer
ASM,American Samoa,1988,Summer
ATG,Antigua and Barbuda,1988,Summer
AUS,Australia,1988,Summer
AUT,Austria,1988,Summer
BEL,Belgium,1988,Summer
BEN,Benin,1988,Summer
BFA,Burkina Faso,1988,Summer
BGD,Bangladesh,1988,Summer
BGR,Bulgaria,1988,Summer
BHR,Bahrain,1988,Summer
BHS,Bahamas,1988,Summer
BLZ,Belize,1988,Summer
BMU,Bermuda,1988,Summer
BOL,Bolivia,1988,Summer
BRA,Brazil,1988,Summer
BRB,Barbados,1988,Summer
BTN,Bhutan,1988,Summer
BWA,Botswana,1988,Summer
CAF,Central African Republic,1988,Summer
CAN,Canada,1988,Summer
CHE,Switzerland,1988,Summer
CHL,Chile,1988,Summer
CHN,China,1988,Summer
CIV,Ivory Coast,1988,Summer
CMR,Cameroon,1988,Summer
COD,DR Congo,1988,Summer
COG,Congo,1988,Summer
COK,Cook Islands,1988,Summer
COL,Colombia,1988,Summer
CRI,Costa Rica,1988,Summer
CYM,Cayman Islands,1988,Summer
CYP,Cyprus,1988,Summer
DJI,Djibouti,1988,Summer
DNK,Denmark,1988,Summer
DOM,Dominican Republic,1988,Summer
DZA,Algeria,1988,Summer
ECU,Ecuador,1988,Summer
EGY,Egypt,1988,Summer
ESP,Spain,1988,Summer
FIN,Finland,1988,Summer
FJI,Fiji,1988,Summer
FRA,France,1988,Summer
GAB,Gabon,1988,Summer
GBR,United Kingdom,1988,Summer
GHA,Ghana,1988,Summer
GIN,Guinea,1988,Summer
GMB,Gambia,1988,Summer
GNQ,Equatorial Guinea,1988,Summer
GRC,Greece,1988,Summer
GRD,Grenada,1988,Summer
GTM,Guatemala,1988,Summer
GUM,Guam,1988,Summer
GUY,Guyana,1988,Summer
HKG,Hong Kong,1988,Summer
HND,Honduras,1988,Summer
HTI,Haiti,1988,Summer
HUN,Hungary,1988,Summer
IDN,Indonesia,1988,Summer
IND,India,1988,Summer
IRL,Ireland,1988,Summer
IRN,Iran,1988,Summer
IRQ,Iraq,1988,Summer
ISL,Iceland,1988,Summer
ISR,Israel,1988,Summer
ITA,Italy,1988,Summer
JAM,Jamaica,1988,Summer
JOR,Jordan,1988,Summer
JPN,Japan,1988,Summer
KEN,Kenya,1988,Summer
KOR,South Korea,1988,Summer
KWT,Kuwait,1988,Summer
LAO,Laos,1988,Summer
LBN,Lebanon,1988,Summer
LBR,Liberia,1988,Summer
LBY,Libya,1988,Summer
LIE,Liechtenstein,1988,Summer
LKA,Sri Lanka,1988,Summer
LSO,Lesotho,1988,Summer
LUX,Luxembourg,1988,Summer
MAR,Morocco,1988,Summer
MCO,Monaco,1988,Summer
MDV,Maldives,1988,Summer
MEX,Mexico,1988,Summer
MLI,Mali,1988,Summer
MLT,Malta,1988,Summer
MMR,Myanmar,1988,Summer
MNG,Mongolia,1988,Summer
MOZ,Mozambique,1988,Summer
MRT,Mauritania,1988,Summer
MUS,Mauritius,1988,Summer
MWI,Malawi,1988,Summer
MYS,Malaysia,1988,Summer
NER,Niger,1988,Summer
NGA,Nigeria,1988,Summer
NLD,Netherlands,1988,Summer
NOR,Norway,1988,Summer
NPL,Nepal,1988,Summer
NZL,New Zealand,1988,Summer
OMN,Oman,1988,Summer
PAK,Pakistan,1988,Summer
PAN,Panama,1988,Summer
PER,Peru,1988,Summer
PHL,Philippines,1988,Summer
PNG,Papua New Guinea,1988,Summer
POL,Poland,1988,Summer
PRI,Puerto Rico,1988,Summer
PRT,Portugal,1988,Summer
PRY,Paraguay,1988,Summer
QAT,Qatar,1988,Summer
ROU,Romania,1988,Summer
RWA,Rwanda,1988,Summer
SAU,Saudi Arabia,1988,Summer
SEN,Senegal,1988,Summer
SGP,Singapore,1988,Summer
SLB,Solomon Islands,1988,Summer
SLE,Sierra Leone,1988,Summer
SLV,El Salvador,1988,Summer
SMR,San Marino,1988,Summer
SOM,Somalia,1988,Summer
SUR,Suriname,1988,Summer
SWE,Sweden,1988,Summer
SWZ,Eswatini,1988,Summer
SYR,Syria,1988,Summer
TCD,Chad,1988,Summer
TGO,Togo,1988,Summer
THA,Thailand,1988,Summer
TON,Tonga,1988,Summer
TTO,Trinidad and Tobago,1988,Summer
TUN,Tunisia,1988,Summer
TUR,Turkey,1988,Summer
TWN,Taiwan,1988,Summer
TZA,Tanzania,1988,Summer
UGA,Uganda,1988,Summer
URY,Uruguay,1988,Summer
USA,United States,1988,Summer
VCT,Saint Vincent and the Grenadines,1988,Summer
VEN,Venezuela,1988,Summer
VGB,British Virgin Islands,1988,Summer
VIR,US Virgin Islands,1988,Summer
VNM,Vietnam,1988,Summer
VUT,Vanuatu,1988,Summer
WSM,Samoa,1988,Summer
ZMB,Zambia,1988,Summer
ZWE,Zimbabwe,1988,Summer
AND,Andorra,1988,Winter
ANT,Netherlands Antilles,1988,Winter
ARG,Argentina,1988,Winter
AUS,Australia,1988,Winter
AUT,Austria,1988,Winter
BEL,Belgium,1988,Winter
BGR,Bulgaria,1988,Winter
BOL,Bolivia,1988,Winter
CAN,Canada,1988,Winter
CHE,Switzerland,1988,Winter
CHL,Chile,1988,Winter
CHN,China,1988,Winter
CRI,Costa Rica,1988,Winter
CYP,Cyprus,1988,Winter
DNK,Denmark,1988,Winter
ESP,Spain,1988,Winter
FIN,Finland,1988,Winter
FJI,Fiji,1988,Winter
FRA,France,1988,Winter
GBR,United Kingdom,1988,Winter
GRC,Greece,1988,Winter
GTM,Guatemala,1988,Winter
GUM,Guam,1988,Winter
HUN,Hungary,1988,Winter
IND,India,1988,Winter
ISL,Iceland,1988,Winter
ITA,Italy,1988,Winter
JAM,Jamaica,1988,Winter
JPN,Japan,1988,Winter
KOR,South Korea,1988,Winter
LBN,Lebanon,1988,Winter
LIE,Liechtenstein,1988,Winter
LUX,Luxembourg,1988,Winter
MAR,Morocco,1988,Winter
MCO,Monaco,1988,Winter
MEX,Mexico,1988,Winter
MNG,Mongolia,1988,Winter
NLD,Netherlands,1988,Winter
NOR,Norway,1988,Winter
NZL,New Zealand,1988,Winter
PHL,Philippines,1988,Winter
POL,Poland,1988,Winter
PRI,Puerto Rico,1988,Winter
PRK,North Korea,1988,Winter
PRT,Portugal,1988,Winter
ROU,Romania,1988,Winter
SMR,San Marino,1988,Winter
SWE,Sweden,1988,Winter
TUR,Turkey,1988,Winter
TWN,Taiwan,1988,Winter
USA,United States,1988,Winter
VIR,US Virgin Islands,1988,Winter
ABW,Aruba,1992,Summer
AGO,Angola,1992,Summer
ALB,Albania,1992,Summer
AND,Andorra,1992,Summer
ANT,Netherlands Antilles,1992,Summer
ARE,United Arab Emirates,1992,Summer
ARG,Argentina,1992,Summer
